,nomor_surat,judul_surat,nilai_bobot,judul_surat_tokens,judul_tokens_fdist,judul_tokens_WSW,judul_tokens_stemmed
0,U10/197/D.66/X1/2020,surat keterangan sebagai dosen pembimbing,2,"['surat', 'keterangan', 'sebagai', 'dosen', 'pembimbing']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'keterangan', 'dosen', 'pembimbing']","['surat', 'terang', 'dosen', 'bimbing']"
1,R.5/543/D.65/VII/2021,surat tugas lktia  dr fitri indriani mpdi,1,"['surat', 'tugas', 'lktia', 'dr', 'fitri', 'indriani', 'mpdi']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'lktia', 'fitri', 'indriani', 'mpdi']","['surat', 'tugas', 'lktia', 'fitri', 'indriani', 'mpdi']"
2,R/361/D.66/XI/2020,surat tugas lkmm menengah,1,"['surat', 'tugas', 'lkmm', 'menengah']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'tugas', 'lkmm', 'menengah']","['surat', 'tugas', 'lkmm', 'tengah']"
3,U10/33/D.65/II/2021,surat tugas kegiatan tanggap bencana,1,"['surat', 'tugas', 'kegiatan', 'tanggap', 'bencana']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'tugas', 'kegiatan', 'tanggap', 'bencana']","['surat', 'tugas', 'giat', 'tanggap', 'bencana']"
4,U10/29/D.65/II/2021,surat tugas tim piket posko tanggep bencana,1,"['surat', 'tugas', 'tim', 'piket', 'posko', 'tanggep', 'bencana']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'tim', 'piket', 'posko', 'tanggep', 'bencana']","['surat', 'tugas', 'tim', 'piket', 'posko', 'tanggep', 'bencana']"
5,U10/141/D.6/VI/2021,surat permohonan izin kegiatan uad awards bidang kemahasiswaan dan alumni,0,"['surat', 'permohonan', 'izin', 'kegiatan', 'uad', 'awards', 'bidang', 'kemahasiswaan', 'dan', 'alumni']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'permohonan', 'izin', 'kegiatan', 'uad', 'awards', 'bidang', 'kemahasiswaan', 'alumni']","['surat', 'mohon', 'izin', 'giat', 'uad', 'awards', 'bidang', 'mahasiswa', 'alumni']"
6,R.5/215/D.65/VII/2021,surat tugas tim pelatihan dan pembinaan kbmk tahun 2021,1,"['surat', 'tugas', 'tim', 'pelatihan', 'dan', 'pembinaan', 'kbmk', 'tahun', '2021']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'tim', 'pelatihan', 'pembinaan', 'kbmk', '2021']","['surat', 'tugas', 'tim', 'latih', 'bina', 'kbmk', '2021']"
7,R.5/542/D.65/V/2021,surat tugas lidm  dr fitri indriani mpdi,1,"['surat', 'tugas', 'lidm', 'dr', 'fitri', 'indriani', 'mpdi']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'lidm', 'fitri', 'indriani', 'mpdi']","['surat', 'tugas', 'lidm', 'fitri', 'indriani', 'mpdi']"
8,R.5/255/D.65/VIII/2021,surat tugas php2d bem fti,1,"['surat', 'tugas', 'php2d', 'bem', 'fti']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'tugas', 'php2d', 'bem', 'fti']","['surat', 'tugas', 'php2d', 'bem', 'fti']"
9,R.5/409/D.65/VIII/2021,surat tugas dosen pembimbing tim php2d  imm farmasi,1,"['surat', 'tugas', 'dosen', 'pembimbing', 'tim', 'php2d', 'imm', 'farmasi']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'dosen', 'pembimbing', 'tim', 'php2d', 'imm', 'farmasi']","['surat', 'tugas', 'dosen', 'bimbing', 'tim', 'php2d', 'imm', 'farmasi']"
10,R.5/449/D.65/XI/2021,surat tugas umm championship pencak silat virtual,1,"['surat', 'tugas', 'umm', 'championship', 'pencak', 'silat', 'virtual']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'umm', 'championship', 'pencak', 'silat', 'virtual']","['surat', 'tugas', 'umm', 'championship', 'pencak', 'silat', 'virtual']"
11,R.5/447/D.65/XI/2021,surat tugas panitia por bapomi diy,1,"['surat', 'tugas', 'panitia', 'por', 'bapomi', 'diy']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'tugas', 'panitia', 'por', 'bapomi', 'diy']","['surat', 'tugas', 'panitia', 'por', 'bapomi', 'diy']"
12,U10/293/D.65/X/2021,surat tugas lomba 11th airlangga championship tapak suci international virtual open 2021,1,"['surat', 'tugas', 'lomba', '11th', 'airlangga', 'championship', 'tapak', 'suci', 'international', 'virtual', 'open', '2021']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'lomba', '11th', 'airlangga', 'championship', 'tapak', 'suci', 'international', 'virtual', 'open', '2021']","['surat', 'tugas', 'lomba', '11th', 'airlangga', 'championship', 'tapak', 'suci', 'international', 'virtual', 'open', '2021']"
13,R.5/627/D.65/X/2021,surat tugas pembimbing lomba bakti formica untuk bangsa,1,"['surat', 'tugas', 'pembimbing', 'lomba', 'bakti', 'formica', 'untuk', 'bangsa']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'pembimbing', 'lomba', 'bakti', 'formica', 'bangsa']","['surat', 'tugas', 'bimbing', 'lomba', 'bakti', 'formica', 'bangsa']"
14,R.5/390/D.65/X/2021,surat tugas sosialisasi anti intoleransi anti kekerasan seksual dan anti perundungan tahap ii,1,"['surat', 'tugas', 'sosialisasi', 'anti', 'intoleransi', 'anti', 'kekerasan', 'seksual', 'dan', 'anti', 'perundungan', 'tahap', 'ii']",<FreqDist with 11 samples and 13 outcomes>,"['surat', 'tugas', 'sosialisasi', 'anti', 'intoleransi', 'anti', 'kekerasan', 'seksual', 'anti', 'perundungan', 'tahap']","['surat', 'tugas', 'sosialisasi', 'anti', 'intoleransi', 'anti', 'keras', 'seksual', 'anti', 'rundung', 'tahap']"
15,R.5/375/D.65/X/2021,surat tugas kotnes robot uad  tim rscuad,1,"['surat', 'tugas', 'kotnes', 'robot', 'uad', 'tim', 'rscuad']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'kotnes', 'robot', 'uad', 'tim', 'rscuad']","['surat', 'tugas', 'kotnes', 'robot', 'uad', 'tim', 'rscuad']"
16,R.5/375.a/D.65/X/2021,surat tugas kontes robot uad  tim lanange jagad,1,"['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'lanange', 'jagad']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'lanange', 'jagad']","['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'lanange', 'jagad']"
